Permit Application No.,Applicant,Expiration Date,Location,Project Description,Project Manager Phone,Project Manager Email,Project Manager Name,Public Notice Date,Public Notice URL,Total Acres,CUP,WQC,Says 'Section 10',Says 'Section 404',Says 'Drill',Says 'Road',Says 'Mitigation Bank'
MVN-2012-1598-EFF,Hilcorp Energy Co.,2012-08-13 00:00:00,Plaquemines Parish,Remove an oil and gas facility in Lake Washington Field in PLAQUEMINES PARISH,504-862-2260,Darrell.Barbara@usace.army.mil,Darrell Barbara,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1598-EFF/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-0887-CO,Texas Brine Company,2012-08-11 00:00:00,Iberville Parish,"Clear, grade, and fill fror brine well in IBERVILLE PARISH",504-862-2675,Jamie.M.Crowe@usace.army.mil,Jamie Crowe,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-0887-CO/public_notice.pdf,0,,,False,False,False,False,False
MVN-2011-0639-EQ,Crescent Towing,2012-08-21 00:00:00,Orleans Parish,Improvements to Crescent Towing facility along the Mississippi River in ORLEANS PARISH,504-862-2543,melissa.a.ellis@usace.army.mil,Melissa Ellis,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-0639-EQ/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1174-WII,Donald Thomas Ash,2012-08-05 00:00:00,Calcasieu Parish,Single Family Residential Subdivision in Calcasieu Parish in CALCASIEU PARISH,504-862-2272,James.Little@usace.army.mil,James Little,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1174-WII/public_notice.pdf,0,,,False,False,False,False,False
MVN-2004-5061-EOO,Port of New Orleans,2012-07-30 00:00:00,Orleans Parish,Install and maintain a dock structure in the MRGO in ORLEANS PARISH,504-862-2225,Brad.LaBorde@usace.army.mil,Brad LaBorde,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2004-5061-EOO/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-01496-WMM,Garrett Jayson Cormie,2012-08-05 00:00:00,Calcasieu Parish,Bulkhead and Boathouse in CALCASIEU PARISH,504-862-1879,angelle.v.greer@usace.army.mil,Angelle Greer,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01496-WMM/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-00786-WMM,Avoyelles Parish Police Jury,2012-08-05 00:00:00,Avoyelles Parish,Dredging for Drainage Improvements in AVOYELLES PARISH,504-862-1879,angelle.v.greer@usace.army.mil,Angelle Greer,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-00786-WMM/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1489-EMM,Tim Couvillion,2012-08-05 00:00:00,Plaquemines Parish,"Install and Maintain a Levee Ramp, Boat Launch, and Boat Shed in PLAQUEMINES PARISH",504-862-2259,Scott.N.Kennedy@usace.army.mil,Scott Kennedy,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1489-EMM/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1644-WJJ,"J.P. Holdings, LLC",2012-08-05 00:00:00,St. Martin Parish,Commercial & residential development in ST. MARTIN PARISH,504-862-2224,Bobby.D.Quebedeaux@usace.army.mil,Bobby Quebedeaux,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1644-WJJ/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-01146-CJ,Terrebonne Parish Consolidated Government,2012-08-05 00:00:00,Terrebonne Parish,Bridge and T-Turnaround Construction and Bridge Demolition/Removal in TERREBONNE PARISH,504-862-2278,christine.thibodeaux@usace.army.mil,Christine Thibodeaux,2012-07-16 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01146-CJ/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-01620-ETT,Robert Pflueger,2012-07-29 00:00:00,St. Tammany Parish,"Remove boat dock, install bulkhead in ST. TAMMANY PARISH",504-862-2041,Robert.M.Tewis2@usace.army.mil,Robert Tewis,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01620-ETT/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1081-EFF,NRCS,2012-07-30 00:00:00,St. Charles Parish,(PO-75) East LaBranch-Marsh Creation- Pilot Project in ST. CHARLES PARISH,504-862-2260,Darrell.Barbara@usace.army.mil,Darrell Barbara,2012-07-10 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1081-EFF/public_notice.pdf,0,,,False,False,False,False,False
MVN-2002-2357-EII,SEA POINT L.L.C.,2012-08-03 00:00:00,Plaquemines Parish,TIME EXTENSION FOR A PREVIOUSLY PERMITTED TRANSFER FACILITY IN THE MISSISSIPPI RIVER in PLAQUEMINES PARISH,504-862-2822,Edward.F.Wrubluski@usace.army.mil,Ed Wrubluski,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2002-2357-EII/public_notice.pdf,0,,,False,False,False,False,False
MVN-2009-0454-EIIA,BOARD OF COMMISSIONERS OF THE PORT OF NEW ORLEANS,2012-08-03 00:00:00,Orleans Parish,INSTALLATION OF TIMBER PILES AND FLOATING DOCKS in ORLEANS PARISH,504-862-2822,Edward.F.Wrubluski@usace.army.mil,Ed Wrubluski,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2009-0454-EIIA/public_notice.pdf,0,,,False,False,False,False,False
MVN-2011-01090-WPP,Terrebonne Parish Levee & Conservation District,2012-07-30 00:00:00,Terrebonne Parish,Falgout Canal Levee Construction (Reach E) in Terrebonne Parish in TERREBONNE PARISH,504-862-2548,Johnny.j.duplantis@usace.army.mil,Johnny Duplantis,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-01090-WPP/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1413-EMM,Lafourche Parish Government,2012-07-29 00:00:00,Lafourche Parish,Install and Maintain a Bulkhead and Backfill in Bayou Des Allemandes in LAFOURCHE PARISH,504-862-2259,Scott.N.Kennedy@usace.army.mil,Scott Kennedy,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1413-EMM/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1395-EMM,"Plains Pipeline, LP",2012-07-29 00:00:00,Plaquemines Parish,"Excavate and Perform Remediation to the 24"" CAM Pipeline in PLAQUEMINES PARISH",504-862-2259,Scott.N.Kennedy@usace.army.mil,Scott Kennedy,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1395-EMM/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1259-CL,CGB Marine Services @ MP 164,2012-08-09 00:00:00,St. James Parish,Barge fleeting in the Mississippi River in ST. JAMES PARISH,504-862-1577,amy.l.oestringer@usace.army.mil,Amy Oestringer,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1259-CL/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1096-EPP,"Plaquemines Holdings, LLC",2012-08-08 00:00:00,Plaquemines Parish,Construct a barge dock within the Mississippi River in PLAQUEMINES PARISH,504-862-1564,Stephanie.L.Lacroix@usace.army.mil,Stephanie Lacroix,2012-07-09 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1096-EPP/public_notice.pdf,0,,,False,False,False,False,False
CEMVN-NWP-2012,CEMVN,2012-08-03 00:00:00,(NO PROJECT AREA),Erratum to NWP regional conditions for Louisiana in (NO PROJECT AREA),504-862-2227,stephen.d.pfeffer@usace.army.mil,Stephen Pfeffer,2012-07-03 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/CEMVN-NWP-2012/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1806-EQ,Michael Dembrun,2012-09-02 00:00:00,Orleans Parish,Reclaim land to construct compground on Bayou Bienvenue in ORLEANS PARISH,504-862-2543,melissa.a.ellis@usace.army.mil,Melissa Ellis,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1806-EQ/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1967-EBB,Port of New Orleans,2012-09-02 00:00:00,Orleans Parish,Barge mooring on Mississippi River Gulf Outlet in ORLEANS PARISH,504-862-2045,jennifer.e.burkett@usace.army.mil,Jennifer Burkett,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1967-EBB/public_notice.pdf,0,,,True,True,False,False,False
MVN-1997-0156-CO,"Masco, Inc.",2012-09-11 00:00:00,St. John the Baptist Parish,Time extension for commercial sand dredging in Mississippi River in ST. JOHN THE BAPTIST PARISH,504-862-2675,Jamie.M.Crowe@usace.army.mil,Jamie Crowe,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-1997-0156-CO/public_notice.pdf,0,,060811-03,True,True,False,False,False
MVN-2011-2044-CO,"Impala Warehousing, LLC",2012-09-11 00:00:00,Ascension Parish,"Dredge, structures and fill in Mississippi River to rehabilitate coal facility in ASCENSION PARISH",504-862-2675,Jamie.M.Crowe@usace.army.mil,Jamie Crowe,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-2044-CO/public_notice.pdf,12.0,,120810-01,True,True,False,False,False
MVN-2012-01842-WNN,Houma Terrebonne Airport Commission,2012-09-02 00:00:00,Terrebonne Parish,Sub-surface drainage improvements in TERREBONNE PARISH,504-862-2272,john.c.price@usace.army.mil,John Price,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01842-WNN/public_notice.pdf,0.32999999999999996,,,True,True,False,True,True
MVN-2012-01268-WNN,Chennault International Airport Authority,2012-09-02 00:00:00,Calcasieu Parish,Emergency vehicle access road in CALCASIEU PARISH,504-862-2272,john.c.price@usace.army.mil,John Price,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01268-WNN/public_notice.pdf,1.33,,,True,True,False,True,True
MVN-2012-1757-EPP,Sidney Malone,2012-08-28 00:00:00,Jefferson Parish,"ATF Construction of storage shed, walkway, cleaning station, two boat slips, and bridge to adjacent island in JEFFERSON PARISH",504-862-1564,Stephanie.L.Lacroix@usace.army.mil,Stephanie Lacroix,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1757-EPP/public_notice.pdf,0,,,True,True,False,False,False
MVN-2012-00689-WLL,Lucas Carlino,2012-09-02 00:00:00,St. Mary Parish,Bulkhead and fill in ST. MARY PARISH,504-862-1954,michael.h.herrmann@usace.army.mil,Mike Herrmann,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-00689-WLL/public_notice.pdf,1.34,,,True,True,False,False,True
MVN-2012-0859-EOO,LDWF,2012-09-11 00:00:00,Plaquemines Parish,Bayou Lamoque Floodgate Removal at MM 33.1 in the Mississippi River in PLAQUEMINES PARISH,504-862-2225,Brad.LaBorde@usace.army.mil,Brad LaBorde,2012-08-13 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-0859-EOO/public_notice.pdf,5.46,,120808-01,True,True,False,False,False
MVN-2010-00704-MR,Robert Maurin,2012-09-20 00:00:00,Livingston Parish,Proposed Jamestown Mitigation Bank in LIVINGSTON PARISH,504-862-2595,Jacqueline.R.Farabee@usace.army.mil,Jacqueline Farabee,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-00704-MR/public_notice.pdf,676.1,,110919-01,True,True,False,True,True
MVN-2012-2023-WB,"Discovery Producer Services, LLC",2012-09-04 00:00:00,Lafourche Parish,Pipeline in the Gulf of Mexico in LAFOURCHE PARISH,504-862-2287,Darlene.C.Herman@usace.army.mil,Darlene Herman,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-2023-WB/public_notice.pdf,0.0,,,True,True,False,False,False
MVN-2011-02781-WLL,Terrebonne Parish Consolidated Government,2012-09-09 00:00:00,Terrebonne Parish,protection levee in TERREBONNE PARISH,504-862-1954,michael.h.herrmann@usace.army.mil,Mike Herrmann,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-02781-WLL/public_notice.pdf,3.7,,,True,True,False,True,True
MVN-2012-00615-WII,William E. Sorkow,2012-09-09 00:00:00,Calcasieu Parish,Bulkhead and fill in CALCASIEU PARISH,504-862-2272,James.Little@usace.army.mil,James Little,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-00615-WII/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-00423-WII,Allen Parish Police Jury,2012-09-09 00:00:00,Allen Parish,Drainage improvements within five waterways in ALLEN PARISH,504-862-2272,James.Little@usace.army.mil,James Little,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-00423-WII/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-01939-WLL,St. Martin Land Company,2012-09-09 00:00:00,St. Martin Parish,earthen plug and culverts in private canal in ST. MARTIN PARISH,504-862-1954,michael.h.herrmann@usace.army.mil,Mike Herrmann,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01939-WLL/public_notice.pdf,0,,,True,True,False,True,False
MVN-2012-01424-WLL,Enterprise Products Operating,2012-09-09 00:00:00,Iberia Parish,"excavate and lower a pipeline, rebuild rock dike in IBERIA PARISH",504-862-1954,michael.h.herrmann@usace.army.mil,Mike Herrmann,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01424-WLL/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1999-WJJ,St Mary Parish Drainage District No. 2,2012-09-09 00:00:00,St. Mary Parish,"Install weir, sheet-pile, matting, section of bulkhead; clean-out ditch in ST. MARY PARISH",504-862-2224,Bobby.D.Quebedeaux@usace.army.mil,Bobby Quebedeaux,2012-08-20 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1999-WJJ/public_notice.pdf,0.9,P20120939,,True,True,False,True,True
